name,diet,period,lived_in,type,length,taxonomy,named_by,species,link,year film,film
allosaurus,carnivorous,Late Jurassic 156-144 million years ago,USA,large theropod,12.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Allosauridae,Marsh (1877),fragilis,https://www.nhm.ac.uk/discover/dino-directory/allosaurus.html,2018-01-01,jurassic world: fallen kingdom
ankylosaurus,herbivorous,Late Cretaceous 74-67 million years ago,USA,armoured dinosaur,7.0,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Brown (1908),magniventris,https://www.nhm.ac.uk/discover/dino-directory/ankylosaurus.html,2001-01-01,jurassic park III
ankylosaurus,herbivorous,Late Cretaceous 74-67 million years ago,USA,armoured dinosaur,7.0,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Brown (1908),magniventris,https://www.nhm.ac.uk/discover/dino-directory/ankylosaurus.html,2015-01-01,jurassic world
ankylosaurus,herbivorous,Late Cretaceous 74-67 million years ago,USA,armoured dinosaur,7.0,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Brown (1908),magniventris,https://www.nhm.ac.uk/discover/dino-directory/ankylosaurus.html,2018-01-01,jurassic world: fallen kingdom
ankylosaurus,herbivorous,Late Cretaceous 74-67 million years ago,USA,armoured dinosaur,7.0,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Brown (1908),magniventris,https://www.nhm.ac.uk/discover/dino-directory/ankylosaurus.html,2022-01-01,jurassic world: dominion
ankylosaurus,herbivorous,Late Cretaceous 74-67 million years ago,USA,armoured dinosaur,7.0,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Brown (1908),magniventris,https://www.nhm.ac.uk/discover/dino-directory/ankylosaurus.html,2025-01-01,jurassic world: rebirth
apatosaurus,herbivorous,Late Jurassic 154-145 million years ago,USA,sauropod,21.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Diplodocidae,Marsh (1877),ajax,https://www.nhm.ac.uk/discover/dino-directory/apatosaurus.html,1993-01-01,jurassic park
apatosaurus,herbivorous,Late Jurassic 154-145 million years ago,USA,sauropod,21.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Diplodocidae,Marsh (1877),ajax,https://www.nhm.ac.uk/discover/dino-directory/apatosaurus.html,2015-01-01,jurassic world
baryonyx,carnivorous,Early Cretaceous 125 million years ago,United Kingdom,large theropod,10.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Spinosauridae Baryonychinae,Charig and Milner (1987),walkeri,https://www.nhm.ac.uk/discover/dino-directory/baryonyx.html,2018-01-01,jurassic world: fallen kingdom
brachiosaurus,herbivorous,Late Jurassic 155-140 million years ago,USA,sauropod,30.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Brachiosauridae,Riggs (1903),altithorax,https://www.nhm.ac.uk/discover/dino-directory/brachiosaurus.html,1993-01-01,jurassic park
brachiosaurus,herbivorous,Late Jurassic 155-140 million years ago,USA,sauropod,30.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Brachiosauridae,Riggs (1903),altithorax,https://www.nhm.ac.uk/discover/dino-directory/brachiosaurus.html,1997-01-01,the lost world: jurassic park
